case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
2014-31,,,,607.0,2014.0,Horthel and others v. Poland,"Horthel Systems BV, Poland Gaming Holding BV and Tesa Beheer BV v. Poland (PCA Case No. 2014-31)",Netherlands - Poland BIT (1992),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,Poland,Netherlands,"Tertiary - R - Arts, entertainment and recreation",92 - Gambling and betting activities,"Claims arising out of Poland’s Gambling Law of 2009 restricting the operation of slot machines outside of casinos, which forced companies controlled by the claimants to stop operating most of their slot machines following the law's entry into force in January 2010 and to abandon all operations by January 2015.",Shareholding in companies operating slot machines.,"Lévy, L. - President; van Leeuwen, M. - Claimant; Thomas, J. C. - Respondent",Final Award dated 16 February 2017 https://www.italaw.com/sites/default/files/case-documents/italaw170639.pdf,,240.00 PLN (56.60 USD),37.70 PLN (9.30 USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Indirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Decision of the Swiss Federal Supreme Court on the Set-Aside of the Award dated 14 December 2017 (Judicial review by national courts),,,https://www.italaw.com/cases/6593,"https://www.iareporter.com/articles/poland-round-up-part-1-as-government-shakes-up-investment-treaty-and-arbitration-management-system-what-is-happening-in-ongoing-bit-cases/;
https://www.iareporter.com/articles/26220/;
http://storage.uzp.gov.pl/20160831/304021_2016.html;
http://orka.sejm.gov.pl/Druki8ka.nsf/0/7F4A4788B29D75FAC12580F9003A8C21/%24File/1463.pdf;
http://www.iareporter.com/articles/arbitrators-named-in-uncitral-bit-claim-against-poland/;
https://www.iareporter.com/articles/poland-loses-bid-to-overturn-arbitral-finding-that-tax-on-gambling-company-breached-bit/"
2014-26,,,,615.0,2014.0,LDA v. India,Louis Dreyfus Armateurs SAS v. The Republic of India (PCA Case No. 2014-26),France - India BIT (1997),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,India,France,Tertiary - H - Transportation and storage,52 - Warehousing and support activities for transportation,"Claims arising out of a series of measures by the Indian Government that allegedly prevented the effective implementation of a joint venture related to a port modernization project at Haldia, in the city of Kolkota, in which the claimant held stakes; including allegedly failing to provide protection and security to the project, and to obey court orders concerning the removal of equipment from the port.",Shareholding in a joint venture with Indian port operator ABG Infralogistics to implement a project aimed at the mechanisation of berths at Haldia in West Bengal.,"Kalicki, J. E. - President; Lew, J. D. M. - Claimant; Thomas, J. C. - Respondent","Decision on Jurisdiction dated 22 December 2015 https://www.italaw.com/sites/default/files/case-documents/italaw11241.pdf;
Award dated 11 September 2018 https://www.italaw.com/sites/default/files/case-documents/italaw11242.pdf",,36.00 USD,Data not available,"Full protection and security, or similar",None - all claims dismissed at the merits stage,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/7942,"http://www.pcacases.com/web/view/113;
http://globalarbitrationreview.com/news/article/32612/india-faces-treaty-claim-port-project/;
http://globalarbitrationreview.com/news/article/32988/%20indian-port-claim-leaves-dock/;
http://articles.economictimes.indiatimes.com/2014-04-23/news/49347683_1_arbitration-notice-international-arbitration-government-official;
http://www.iareporter.com/articles/20141211_2;
https://www.iareporter.com/articles/tribunal-rules-for-india-in-bit-case-dismissing-claims-of-french-investor-and-imposing-hefty-costs-award/;
https://globalarbitrationreview.com/article/1174059/india-sees-first-win-in-treaty-case"
20355/MCP,,,,622.0,2014.0,Olin v. Libya,Olin Holdings Limited v. State of Libya (ICC Case No. 20355/MCP),Cyprus - Libya BIT (2004),ICC (International Chamber of Commerce),ICC (International Chamber of Commerce),Decided in favour of investor,Libya,Cyprus,Secondary - C - Manufacturing,10 - Manufacture of food products,Claims arising out of the alleged expropriation of the claimant’s dairy and juice factory.,Investments in a dairy and juice factory in Tripoli.,"Comair-Obeid, N. - President; Ziadé, N. - Claimant; Fadlallah, I. - Respondent","Final Award dated 25 May 2018 https://www.italaw.com/sites/default/files/case-documents/italaw9766_0.pdf ;
Partial Award on Jurisdiction dated 28 June 2016 ",,104.90 EUR (122.90 USD),18.20 EUR (21.30 USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Arbitrary, unreasonable and/or discriminatory measures;
Full protection and security, or similar;
National treatment;
Direct expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Arbitrary, unreasonable and/or discriminatory measures;
National treatment;
Direct expropriation",,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/6667,"https://www.iareporter.com/articles/investigation-as-fight-continues-over-1bil-award-libya-facing-at-least-a-dozen-investment-treaty-arbitrations-possibly-more-in-aftermath-of-arab-spring/;
https://www.iareporter.com/articles/libya-more-details-emerge-about-constitution-of-arbitral-tribunals-hearing-ad-hoc-and-icc-investment-treaty-claims/;
http://audit.gov.ly/home/pdf/EN-LABR-2015.pdf;
https://www.libyaobserver.ly/news/libya-wins-two-arbitration-lawsuits-against-turkish-cypriot-companies;
https://www.iareporter.com/articles/analysis-at-jurisdiction-phase-libyan-civil-unrest-justifies-waiver-of-bits-cooling-off-period-but-does-not-excuse-states-failure-to-post-a-share-of-costs-treaty-provision-should-not-be-read-a/;
 https://www.iareporter.com/articles/analysis-libya-found-liable-for-expropriation-and-other-breaches-even-though-formal-taking-never-occurred-compensation-under-dcf-valuation-is-discounted-due-to-long-running-civil-war/;
https://www.iareporter.com/articles/libya-round-up-in-new-award-tribunal-orders-e18-2m-for-expropriation-and-other-treaty-violations-hefty-consent-award-in-earlier-reported-bit-case-is-also-finalized-state-agency-reveals-success-in/;
https://globalarbitrationreview.com/article/1171151/icc-cases-against-libya-reach-outcome"
2014/163,,,,623.0,2014.0,PL Holdings v. Poland,PL Holdings S.a.r.l. v. Poland (SCC Case No. 2014/163),BLEU (Belgium-Luxembourg Economic Union) - Poland BIT (1987),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of investor,Poland,Luxembourg,Tertiary - K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of alleged forced sale of the claimant's shareholding in a Polish bank, FM Bank PBP.","99.6% shareholding in a Polish bank, FM Bank PBP.","Bermann, G. - President; Lew, J. D. M. - Claimant; Schneider, M. - Respondent","Partial Award dated 28 June 2017 https://www.italaw.com/sites/default/files/case-documents/italaw9378.pdf;
Final Award dated 28 September 2017 https://www.italaw.com/sites/default/files/case-documents/italaw10467.pdf",,1888.40 PLN (479.90 USD),653.60 PLN (178.40 USD),Indirect expropriation,Indirect expropriation,Judicial review by national courts,Pending Judicial review by national courts,Judgment of Svea Court of Appeal on Set-aside Application dated 22 February 2019 (Judicial review by national courts),,,https://www.italaw.com/cases/6209,"http://www.iareporter.com/articles/poland-claims-round-up-at-least-a-dozen-investment-treaty-arbitrations/;
http://www.iareporter.com/articles/26220/;
http://ted.europa.eu/udl?uri=TED:NOTICE:317852-2016:TEXT:EN:HTML&tabId=0;
https://www.iareporter.com/articles/27899/;
http://orka.sejm.gov.pl/Druki8ka.nsf/0/7F4A4788B29D75FAC12580F9003A8C21/%24File/1463.pdf;
https://www.iareporter.com/articles/in-now-surfaced-pl-holdings-merits-award-restrictions-on-shareholder-voting-rights-and-a-divestment-order-amount-to-expropriation-actions-of-polands-bank-regulator-are-viewed-through-lens-o/;
https://www.iareporter.com/articles/poland-held-liable-for-damages-under-intra-eu-treaty-following-divestment-order-to-luxembourgish-banking-investor/;
https://www.4newsquare.com/pl-holdings-v-poland/;
https://globalarbitrationreview.com/article/1148690/forced-bank-sale-in-poland-leads-to-damages;
https://www.transnational-dispute-management.com/downloads/20393_Case_Report_PL_Holdings_-_Poland_-_SCC_Award_2017.pdf;
https://www.iareporter.com/articles/poland-investment-treaty-claims-round-up-an-update-on-new-claims-progress-of-ongoing-cases-and-enforcement-set-aside-actions/;
https://www.iareporter.com/articles/analysis-now-that-first-eu-court-has-set-aside-an-intra-eu-bit-award-due-to-achmea-ruling-we-look-at-the-fate-of-three-other-awards/;
https://www.iareporter.com/articles/analysis-a-full-run-down-of-the-svea-court-of-appeals-reasoning-in-the-recent-pl-holdings-v-poland-set-aside-decision/;
https://www.iareporter.com/articles/revealed-heretofore-confidential-quantum-award-from-pl-holdings-v-poland-case-reveals-how-damages-were-quantified/;
https://www.iareporter.com/articles/breaking-svea-court-of-appeal-upholds-most-of-intra-eu-award-against-poland-finding-that-states-achmea-related-objections-are-time-barred/;
https://www.iareporter.com/articles/swedens-supreme-court-agrees-to-review-achmea-related-bit-award-and-to-stay-its-enforcement-in-interim/;
https://www.iareporter.com/articles/swedish-supreme-court-sends-achmea-related-issue-to-european-court-of-justice/"
20588/ZF,,,,628.0,2014.0,Saab v. Cyprus,Ayoub-Farid Saab and Fadi Saab v. Cyprus (ICC Case No. 20588/ZF),Cyprus - Lebanon BIT (2001),ICC (International Chamber of Commerce),ICC (International Chamber of Commerce),Decided in favour of State,Cyprus,Lebanon,Tertiary - K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the decision by Cyprus’ Central Bank to place under administration and sell off two Cypriot branches of a bank owned by the claimants, following accusations that the bank was involved in money laundering operations.","Ownership of Tanzanian-based FBME Bank, which conducted most of its operations in Cyprus.","Tercier, P. - President; Fadlallah, I. - Claimant; Veeder, V. V. - Respondent","Decision on Jurisdiction dated 10 September 2015 ;
Award dated 15 January 2019 ",Dissenting Opinion (Award dated 15 January 2019),500.00 USD,Data not available,Indirect expropriation,None - all claims dismissed at the merits stage,Judicial review by national courts,Award/decision upheld Judicial review by national courts,Judgment of the Paris Court of Appeal dated 22 March 2022  (French) (Judicial review by national courts),,,https://www.italaw.com/cases/9160,"http://globalarbitrationreview.com/news/article/32913/%20icc-hear-treaty-claim-against-cyprus/;
http://www.fincen.gov/news_room/nr/html/20140716.html;
http://www.fbmeltd.com/wp-content/uploads/2014/11/14-11-28-RequestForArbitration-1-EN.pdf;
http://www.dailystar.com.lb/News/Lebanon-News/2014/Jul-18/264302-us-accuses-lebanese-owned-bank-of-money-laundering.ashx;
http://www.centralbank.gov.cy/nqcontent.cfm?a_id=13713;
http://www.fbmeltd.com/icc-arbitration-panel-formed/;
http://www.fbmeltd.com/arbitration-update-2/;
http://www.fbmeltd.com/shareholders-seek-500-million-damages/;
http://globalarbitrationreview.com/news/article/33595/icc-tribunal-firmly-invites-cyprus-stop-sale-treaty-claim/;
http://globalarbitrationreview.com/news/article/33229/counsel-place-treaty-claim-against-cyprus/;
http://www.iareporter.com/articles/20150204_3;
http://www.iareporter.com/articles/arbitrators-finalized-to-hear-icc-claim-against-cyprus-arising-out-of-take-over-of-controversial-bank/;
http://www.fbmeltd.com/2015/09/;
http://www.iareporter.com/articles/jurisdictional-hurdles-cleared-in-icc-treaty-claim-vs-cyprus-over-bank-take-over/;
http://globalarbitrationreview.com/news/article/34176/treaty-claim-against-cyprus-gets-all-clear/;
https://www.iareporter.com/articles/cyprus-prevails-in-another-investment-treaty-arbitration-this-time-defeating-claims-under-lebanon-bit-relating-to-controversial-bank/;
https://www.pio.gov.cy/%CE%B1%CE%BD%CE%B1%CE%BA%CE%BF%CE%B9%CE%BD%CF%89%CE%B8%CE%AD%CE%BD%CF%84%CE%B1-%CE%AC%CF%81%CE%B8%CF%81%CE%BF.html?id=5809#flat;
http://www.fbmeltd.com/2019/01/;
https://www.iareporter.com/articles/banking-award-in-favour-of-cyprus-withstands-set-aside-bid/"
2015-23,,,,631.0,2014.0,Trinh and Bin Chau v. Viet Nam (II),Trinh Vinh Binh and Binh Chau JSC v. Viet Nam (II) (PCA Case No. 2015-23),Netherlands - Viet Nam BIT (1994),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,Viet Nam,Netherlands,Data not available,Data not available,,,Name not available - President; Name not available - Claimant; Name not available - Respondent,Award dated 10 April 2019 ,,1250.00 USD,37.50 USD,"Direct expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Direct expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/articles/asia-round-up-china-and-vietnam-face-new-bit-claims-as-proceedings-against-korea-and-indonesia-move-forward/;
http://globalarbitrationreview.com/article/1147036/tribunal-hears-billion-dollar-claim-against-vietnam;
https://globalarbitrationreview.com/article/1147036/tribunal-hears-billion-dollar-claim-against-vietnam;
https://www.iareporter.com/articles/dutch-investor-prevails-over-vietnam-as-tribunal-awards-27-million-in-compensation-10m-in-moral-damages-and-sizable-legal-fees/;
https://globalarbitrationreview.com/article/1190243/dutch-national-wins-moral-damages-against-vietnam;
https://moj.gov.vn/qt/thongtinbaochi/Pages/thong-cao-bao-chi-ve-cac-su-kien.aspx?ItemID=3"
2014/023,,,,635.0,2014.0,Uzan v. Turkey,Cem Cenzig Uzan v. Republic of Turkey (SCC Case No. 2014/023),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of State,Türkiye,"France;
United Kingdom","Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the alleged termination by the Government of electricity concessions held by the claimant, as well as the seizure of the assets owned by claimant's electricity companies.",Rights under electricity concessions held by claimant's companies ÇEAŞ and Kepez.,"Cremades, B. M. - President; Carreau, D. - Claimant; Sands, P. - Respondent",Award on Respondent’s Bifurcated Preliminary Objection dated 20 April 2016 https://www.italaw.com/sites/default/files/case-documents/italaw8642.pdf,Declaration of Philippe Sands (Award on Respondent’s Bifurcated Preliminary Objection dated 20 April 2016),2500.00 USD,Data not available,Data not available,None - jurisdiction declined,Judicial review by national courts,Award/decision upheld Judicial review by national courts,Judgment of the Svea Court of Appeal dated 2018 (Judicial review by national courts),,,https://www.italaw.com/cases/5586,"http://www.energycharter.org/what-we-do/dispute-settlement/investment-dispute-settlement-cases/57-cem-uzan-v-republic-of-turkey/;
http://www.hurriyetdailynews.com/turkey-wins-final-appeal-in-libananco-case-against-uzan-family.aspx?pageID=238&nid=47439;
http://www.hurriyetdailynews.com/uzan-family-opens-new-lawsuit-against-turkey-over-seizure-of-energy-companies-minister.aspx?pageID=238&nID=64663&NewsCatID=345;
http://www.dailysabah.com/politics/2014/04/07/uzan-family-opens-a-25-bln-lawsuit-against-turkey;
http://globalarbitrationreview.com/news/article/33642/switzerland-prepares-first-treaty-claim/;
http://www.iareporter.com/articles/latest-uzan-v-turkey-arbitration-fails-as-scc-tribunal-looks-past-claimants-permanent-residence-in-france-and-dwells-on-domestic-origins-of-disputed-investment/;
http://globalarbitrationreview.com/article/1139905/political-asylum-fails-to-keep-businessmans-treaty-claim-afloat;
https://www.iareporter.com/articles/energy-charter-treaty-award-in-favour-of-turkey-survives-set-aside-bid/;
https://www.transnational-dispute-management.com/legal-and-regulatory-detail.asp?key=21913"
2016-35,,,,637.0,2014.0,Vodafone v. India (I),Vodafone International Holdings BV v. India (I) (PCA Case No. 2016-35),India - Netherlands BIT (1995),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,India,Netherlands,Tertiary - J - Information and communication,61 - Telecommunications,Claims arising out of a retrospective transaction tax imposed by the Government over claimant's acquisition of Indian-based Hutchison Whampoa telecoms business.,Ownership of an Indian telecoms company.,"Fortier, L. Y. - Claimant; Lahoti, R. C. - Respondent (replaced); Oreamuno Blanco, R. - Respondent; Berman, F. - President",Award dated 25 September 2020 ,,Data not available,Non-pecuniary relief,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Judicial review by national courts,Pending Judicial review by national courts,,No decisions recorded,,http://italaw.com/cases/2544,"http://globalarbitrationreview.com/news/article/32818/%20vodafone-claim-india-rules-tax-law-change/;
http://www.iareporter.com/articles/20141211_2;
http://www.herbertsmithfreehills.com/-/media/Files/ebulletins/2014/20140715%20-%20Indian%20International%20Arbitration%20e-bulletin.htm;
http://globalarbitrationreview.com/news/article/32635/vodafone-india-arbitration-on/;
http://articles.economictimes.indiatimes.com/2014-08-26/news/53243667_1_third-arbitrator-india-netherlands-bipa-vodafone;
http://www.thehindu.com/todays-paper/tp-business/curtis-to-represent-india-in-vodafone-arbitration/article6273770.ece;
http://www.business-standard.com/article/pti-stories/voda-govt-agree-to-extend-date-for-selection-of-3rd-arbitrator-114091601079_1.html;
http://www.iareporter.com/articles/president-of-icj-nominates-chair-for-vodafone-v-india-arbitration-and-then-rejects-indias-effort-to-disqualify-the-nominee/;
http://globalarbitrationreview.com/article/1146807/revealed-indias-three-attempts-to-halt-the-vodafone-case;
http://www.vodafone.com/content/dam/vodafone/investors/financial_results_feeds/preliminary_results_31march2017/dl_prelim2017.pdf;
https://globalarbitrationreview.com/article/1169199/vodafone-goes-ahead-with-treaty-claim-against-india;
https://www.iareporter.com/articles/breaking-vodafone-prevails-in-treaty-based-arbitration-against-india/;
https://globalarbitrationreview.com/india-liable-in-vodafone-tax-dispute ;
https://www.nishithdesai.com/information/news-storage/news-details/article/vodafone-investment-treaty-arbitration-award-part-i.html#:~:text=(4)%20The%20finding%20of%20breach,will%20engage%20its%20international%20responsibility;
https://pib.gov.in/PressReleasePage.aspx?PRID=1659099;
https://www.iareporter.com/articles/india-round-up-devas-is-wound-up-devas-shareholders-seek-to-seize-assets-from-air-india-and-india-is-told-to-pay-an-earlier-vaccine-award/;
https://globalarbitrationreview.com/india-facing-new-retroactive-tax-claim"
2014-34,,,,638.0,2014.0,WNC v. Czech Republic,WNC Factoring Ltd (WNC) v. The Czech Republic (PCA Case No. 2014-34),Czech Republic - United Kingdom BIT (1990),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Czechia,United Kingdom,"Tertiary - M - Professional, scientific and technical activities",71 - Architectural and engineering activities; technical testing and analysis,"Claims arising out of the Government’s alleged failures during the privatization of Škoda Export following a public tender, which was won by the claimant’s Czech company ČEX, and subsequent actions allegedly resulting in Škoda Export’s insolvency.","Ownership of Czech company ČEX, a.s. (later known as FITE Export, a.s.).","Griffith, G. - President; Volterra, R. - Claimant; Crawford, J. R. - Respondent",Award dated 22 February 2017 https://www.italaw.com/sites/default/files/case-documents/italaw8533.pdf,,90.00 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Umbrella clause;
Indirect expropriation",None - all claims dismissed at the merits stage,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/5388,"http://wncf.org.uk/press-release-2/;
http://wncf.org.uk/press-release-4/;
http://www.iareporter.com/articles/czech-republic-govt-releases-cache-of-bit-awards-strives-to-collect-costs-orders-and-currently-faces-eleven-pending-treaty-claims/;
http://www.pcacases.com/web/view/119;
http://www.mfcr.cz/cs/aktualne/tiskove-zpravy/2017/ministerstvo-financi-vyhralo-arbitraz-o-27783;
http://globalarbitrationreview.com/article/1129663/czech-republic-defeats-conspiracy-claim;
https://www.iareporter.com/articles/czech-republic-defeats-uk-bit-claims-over-alleged-failings-in-2008-privatisation-process-griffithvolterracrawford-consider-umbrella-clause-and-mfn-arguments/;
https://www.transnational-dispute-management.com/downloads/17731_case_report_wnc_factoring_v_czech_republic_-_pca_award_2017.pdf"
2013-12,,,,640.0,2013.0,Achmea v. Slovakia (II),Achmea B.V. v. The Slovak Republic (II) (PCA Case No. 2013-12),Netherlands - Slovakia BIT (1991),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Slovakia,Netherlands,Tertiary - K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the Government's announced plan to establish a unitary public health insurance system in Slovakia run by the State, which would allegedly entail the expropriation of Achmea’s stake in a Slovak health insurance company.","Shareholding in a Slovak health insurer, Union zdravotna poistovna (UZP).","Lévy, L. - President; Beechey, J. - Claimant; Dupuy, P.-M. - Respondent",Award on Jurisdiction and Admissibility dated 20 May 2014 http://www.italaw.com/sites/default/files/case-documents/italaw3207.pdf,,72.00 EUR (93.00 USD),Data not available,"Indirect expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - jurisdiction declined,,,,No follow-up proceedings initiated,,http://www.italaw.com/cases/2564,"http://globalarbitrationreview.com/news/article/32673/slovakia-defeats-claim-future-expropriation/;
http://globalarbitrationreview.com/news/article/31164/measures-targeting-health-insurers-lead-new-claim-against-slovakia/;
http://www.iareporter.com/articles/20140613_3;
http://www.pca-cpa.org/showpage6fc0.html?pag_id=1414"
2014-01,,,,646.0,2013.0,Antaris and Göde v. Czech Republic,Antaris Solar GmbH and Dr. Michael Göde v. The Czech Republic (PCA Case No. 2014-01),"Germany - Slovakia BIT (1990);
The Energy Charter Treaty (1994)",UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Czechia,Germany,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of amendments to the pre-existing incentive regime applicable to renewable energy, including the introduction of a levy on electricity generated (""Solar Levy""), allegedly adopted in order to diminish windfall profit to producers (that became possible due to significant fall in costs of solar panels) and reduce burden on energy consumers.",Equity interests in several Czech energy companies engaged in the photovoltaic sector.,"Collins, L. - President; Bishop, D. - Claimant (replaced); Tomka, P. - Respondent; Born, G. B. - Claimant",Award dated 2 May 2018 https://www.italaw.com/sites/default/files/case-documents/italaw9809.pdf ,"Dissenting Opinion of Gary Born (Award dated 2 May 2018);
Declaration of Peter Tomka (Award dated 2 May 2018)",306.50 CZK (14.40 USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Arbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,,,,No follow-up proceedings initiated,,http://www.italaw.com/cases/2080,"http://www.pcacases.com/web/view/24;
http://www.iareporter.com/articles/20130515_1;
http://globalarbitrationreview.com/news/article/33252/bishop-resigns-czech-solar-panels/;
http://globalarbitrationreview.com/news/article/32436/sun-rises-czech-energy-claims/;
http://www.energycharter.org/what-we-do/dispute-settlement/investment-dispute-settlement-cases/36-antaris-solar-and-dr-michael-goede-v-czech-republic/;
https://www.iareporter.com/articles/antaris-v-czech-republic-part-1-arbitrators-that-czech-solar-levy-is-not-eligible-for-energy-charter-treaty-tax-measure-carve-out/;
 https://www.iareporter.com/articles/antaris-v-czech-republic-part-2-on-merits-tribunal-finds-that-investment-protection-does-not-extend-to-speculative-investors/;
 https://www.iareporter.com/articles/antaris-v-czech-republic-part-3-gary-born-sees-clearly-guaranteed-fit-payments-and-deplores-use-of-margin-of-appreciation-doctrine/ ;
https://www.transnational-dispute-management.com/legal-and-regulatory-detail.asp?key=21044"
094/2013,,,,657.0,2013.0,CSP Equity Investment v. Spain,CSP Equity Investment Sarl v. Kingdom of Spain (SCC Case No. 094/2013),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),PCA (Permanent Court of Arbitration),Pending,Spain,Luxembourg,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",Equity interests in six thermo-solar powerplants in Spain.,Data not available,,No decisions recorded,840.00 EUR (975.90 USD),Data not available,"Indirect expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Pending,,,,No follow-up proceedings initiated,,http://www.italaw.com/cases/2303,"http://www.energycharter.org/what-we-do/dispute-settlement/investment-dispute-settlement-cases/39-csp-equity-investment-sarl-v-spain/;
http://www.iareporter.com/articles/20131205;
http://globalarbitrationreview.com/news/article/32041/abengoa-sues-spain-solar-reforms/;
https://www.ecestaticos.com/file/d88ce7a07265dbf8d809b453b848f239/1514204320-186-881-tribunals-arbitratge.pdf"
2014-10,,,,659.0,2013.0,Deutsche Telekom v. India,Deutsche Telekom AG v. The Republic of India (PCA Case No. 2014-10),Germany - India BIT (1995),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,India,Germany,Tertiary - J - Information and communication,61 - Telecommunications,"Claims arising out of the Government's cancellation of a contract concluded with Devas, a company in which the claimant held interests, concerning the provision of broadband services to Indian consumers.","Indirect shareholding (20 per cent stake via a Singaporean subsidiary) in the Indian company Devas Multimedia, that had concluded contracts with Antrix -related to the Indian Space Research Organisation- for the launch and operation of two satellites.","Kaufmann-Kohler, G. - President; Price, D. M. - Claimant; Stern, B. - Respondent","Interim Award dated 13 December 2017  https://www.italaw.com/sites/default/files/case-documents/italaw10496.pdf;
Final Award dated 27 May 2020 ",,270.00 USD,93.30 USD,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Direct expropriation;
Indirect expropriation","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Judgment of the Swiss Federal Supreme Court dated 11 December 2018 (Judicial review by national courts),,,http://www.italaw.com/cases/2275,"http://www.iareporter.com/articles/20131022_1;
http://globalarbitrationreview.com/news/article/32004/new-satellite-claim-launches-against-india/;
http://www.iareporter.com/articles/20141211_2;
http://www.iareporter.com/articles/20140421_1;
https://www.iareporter.com/articles/india-round-up-updates-on-five-pending-investment-treaty-arbitrations-including-rulings-tribunals-and-anti-suit-injunctions/;
https://globalarbitrationreview.com/article/1170341/icc-satellite-award-challenge-to-be-heard-in-bangalore;
https://www.iareporter.com/articles/analysis-swiss-court-weighs-in-with-its-reading-of-essential-security-bit-clause-and-thoughts-on-corruption-objection-en-route-to-rejecting-indias-bid-to-set-aside-award-in-favour-of-deutsche/;
 https://www.iareporter.com/articles/another-indian-bit-award-surfaces-revealing-divergence-between-a-pair-of-tribunals-with-respect-to-application-of-essential-security-clauses/;
https://www.iareporter.com/articles/quantum-award-in-deutsche-telekom-v-india-surfaces/;
https://www.iareporter.com/articles/analysis-on-quantum-deutsche-telekom-v-india-tribunal-opts-for-sunk-costs-approach-departing-from-parallel-indian-satellite-spectrum-cases/"
